施設,タイムスタンプ,個人情報保護の方針について,全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）,石川県内での宿泊数をお答えください,石川県内での宿泊エリアをお答えください,石川県外での宿泊エリアをお答えください,今回はどなたと石川県を訪れていますか？,今回の石川県の訪問目的は何ですか？（複数選択可）,石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください,次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください,前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。,上記満足度の理由について、具体的に教えてください,今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）,"今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり）
※石川県外からの交通費、石川県内での交通費を含む。","今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり）
※飲食、買い物、体験・観光などの消費額合計
※宿泊費、交通費を除く",これまでに   当施設   には何度訪れたことがありますか。,今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）,"当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(前),"当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(後),当施設    における、消費総額をお答えください。（予定でも可/１人あたり）,当施設 における、商品・サービスの満足度をお答えください,上記満足度の理由につい具体的に教えてください。(サービス),当施設   における、施設全体の満足度をお答えください。,上記満足度の理由につい具体的に教えてください。(施設全体),当施設   において、不便を感じたり困ったことはありましたか。,上記不便を感じたり、困ったことについて具体的に教えてください,あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。,あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください,今後、再び石川県を訪れたいと思いますか,"あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。

(※必須項目です。無ければ「特になし」とご記入ください)",性別をお答えください,生まれた年をお答えください,お住いの都道府県をお答えください,"お住いの市区町村をお答えください
例：新宿区",世帯年収をお答えください,アンケートに回答しようと思った動機をお答えください,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
航空プラザ,2026/04/12 21:12:06,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 花見や紅葉などの自然鑑賞, まちあるき、都市散策",自家用車,自家用車,,,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",初めて,インターネット・アプリ,木場潟公園,,選択なし／該当施設なし,加佐ノ岬,使わない,どちらでもない,,満足,,感じなかった,,8,,機会があれば行きたい,特になし,男,1969,京都府,京都市,"900万円以上 1,000万円未満","景品が当たる, ひゃくまんさんが好き",満足,8,
トレインパーク白山,2026/04/12 22:41:57,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"お祭りやイベントへの参加・見物, コマツの杜、トレインパーク白山",飛行機,"在来線, シャトルバス",満足,在来線とシャトルバスで小松駅からたどり着けたが、決してアクセスが良いとは言えないから,"50,000円以上 100,000円未満","30,000円以上 40,000円未満","20,000円以上 30,000円未満",初めて,"インターネット・アプリ, 友人・知人, Googleマップ、じゃらん",選択なし/該当施設なし,こまつの杜,選択なし／該当施設なし,小松空港,"1,000円以上 3,000円未満",満足,施設は素晴らしかったが，お土産で買いたいものがなかった,満足,お土産と同様,感じなかった,,9,,機会があれば行きたい,もっと良い意味で大人の目のある、豊かな自由を体験できる事を増やしてみては？この旅で1番良かったのは空と子どもの絵本館。駐車場でチョークで遊べたり、第二の自宅のように寝そべって本が読めたり、東京ではさまざまなクレームや子供がいる環境を騒音と思う人に合わせて、多くのことが制限されているため、あのような豊かな自由はありません。すごく良い場所と感じました。小松駅前の庄やでも、店員の方が子供に丁寧に話しかけてくれて、子どもをふんわりと包んでくれる環境があると感じました。その中で商売っけの無さも感じました。もう少しレンタカーが安い事をPRしてくれれば、あんなに徒歩で歩くこともなかったし、電車を待つこともなく、また別の施設に遊びに行けたかもしれません。短期間しか居られない人にたくさんお金を落としてもらうためには、ドライブコースのPRなども良いのではと思いました。,女,1987,東京都,品川区,"1,200万円以上 1,500万円未満",景品が当たる,とても満足,8,3歳男子を飛行機に乗せて、連れてくる先としてはよかったが、未就学児でなければ物足りなさもあるから
リブマックスリゾート加賀山代,2026/04/12 23:59:45,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,夫婦2人,宿でのんびり過ごす,自家用車,自家用車,,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",11回目以上,インターネット・アプリ,選択なし/該当施設なし,イオンモール,選択なし／該当施設なし,特になし,"10,000円以上 20,000円未満",どちらでもない,リニューアルしてから値段が上がったけど料理の質が若干良くなつた,どちらでもない,物価高騰の影響なのか　サービスの質が落ちた,感じなかった,サービスがコロコロ変わる　月に2回位利用しているけど最近特に,7,夕食バイキングの品数多いがどこにでもある様なつまらない料理が多い　品数を減らしてワンランク上の料理を提供して欲しい,機会があれば行きたい,美味し料理と温泉と大人でも遊べる温水プールとか複合施設　例えばルネス金沢の様な,男,1958,福井県,福井市,300万円以上 400万円未満,なんとなく,どちらでもない,7,格安ホテルだから
ゆのくに天祥,2026/04/13 0:31:31,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 名所、旧跡の観光, 買い物、アウトレット","新幹線, 在来線",レンタカー,満足,レンタカーが新車でかつ乗りやすかった。,"50,000円以上 100,000円未満","50,000円以上 100,000円未満","50,000円以上 100,000円未満",2～5回目,"新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ",選択なし/該当施設なし,石川県立九谷焼美術館,ゆのくにの森,,"30,000円以上 40,000円未満",満足,九谷焼を買いに来たから,満足,同上,感じなかった,,7,,機会があれば行きたい,金沢おでんや寿司が美味しかった。九谷焼をいくつか買いたいと思っている。,女,1974,神奈川県,海老名市,"1,000万円以上 1,200万円未満",景品が当たる,満足,8,石川県立九谷焼美術館、公園は気持ちよく、九谷焼の歴史について学べたから。
白峰温泉総湯,2026/04/13 6:08:45,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,恋人,"温泉や露天風呂, ドライブ・ツーリング",自家用車,自家用車,とても満足,道が走りやすい,使わない,"1,000円未満","1,000円以上 3,000円未満",6～10回目,Googleマップ,選択なし/該当施設なし,小松空港,木場潟公園,,"1,000円未満",とても満足,とても綺麗な場所,とても満足,いつも綺麗に清掃してくれている,感じた,露天風呂がもう少し広ければ・・・,10,前のお土産屋で食事も出来るので特にはないと思います,石川県在住,最近観光向けのお店が増えたのは良いが値段が高い・品質が良くない等のお店も多いので残念な点も目立ってきてると思います。,男,1974,石川県,金沢市,500万円以上 600万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県の雑学を知りたい",とても満足,10,海も山も近く温泉あり山の幸海の幸もある便利で住んでいても自慢できる場所
瑠璃光,2026/04/13 9:23:53,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,,,"20,000円以上 30,000円未満","50,000円以上 100,000円未満","1,000円未満",2～5回目,"インターネット・アプリ, Instagram, 姉妹館の葉渡莉が良かったので。",月うさぎの里,,ゆのくにの森,,"20,000円以上 30,000円未満",満足,三世代で楽しむことができた,満足,三世代で楽しむことができた,感じなかった,,5,姉妹館の葉渡莉が大変良かったので瑠璃光へ宿泊しましたが、お料理が少し残念でした。お部屋はランクアップしていただき快適に過ごすことができました。温泉も広くてよかったです。お土産も豊富でたくさん買いました。,また行きたい（1年以内）,地酒,女,1992,福井県,福井市,300万円以上 400万円未満,"景品が当たる, 石川県のおすすめ観光スポットが見たい",満足,10,今回とは別に前回宿泊した葉渡莉はおすすめしたいです。
胡蝶,2026/04/13 10:01:20,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 各種体験（手作り、果物狩りなど）",自家用車,自家用車,,,"50,000円以上 100,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,友人・知人,那谷寺,,ゆのくにの森,,"5,000円以上 10,000円未満",とても満足,,満足,,感じなかった,,7,,また行きたい（1年以内）,特になし,女,1964,富山県,富山市,300万円以上 400万円未満,景品が当たる,満足,9,
大江戸温泉物語Premium 山下家,2026/04/13 11:15:36,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,富山県,恋人,"温泉や露天風呂, 地元の美味しいものを食べる, スポーツ観戦や芸術鑑賞（コンサート等）","レンタカー, 新幹線",レンタカー,満足,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",2～5回目,X(旧：Twitter),選択なし/該当施設なし,,選択なし／該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,8,,また行きたい（1年以内）,郷土料理,女,1998,千葉県,中央区,400万円以上 500万円未満,景品が当たる,とても満足,10,
河内じばさん,2026/04/13 11:51:34,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞",県外から訪れていない（石川県内在住）,自家用車,,,使わない,"3,000円以上 5,000円未満",使わない,11回目以上,友人・知人,木場潟公園,,選択なし／該当施設なし,イオンモール新小松店,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,8,,石川県在住,特になし,男,1957,石川県,加賀市,200万円以上 300万円未満,景品が当たる,満足,8,
トレインパーク白山,2026/04/13 12:29:25,同意する,1泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,自分ひとり,"温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）, ドライブ・ツーリング",自家用車,自家用車,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,友人・知人,選択なし/該当施設なし,松井秀喜ベースボールミュージアムに向かった為,選択なし／該当施設なし,帰宅するため,"1,000円以上 3,000円未満",とても満足,丁寧な案内をして頂いてありがたかった,とても満足,北陸新幹線メインの展示は新鮮だった,感じなかった,,10,,機会があれば行きたい,美味しいお酒が飲めたら嬉しい,男,1993,愛知県,岩倉市東新町,400万円以上 500万円未満,景品が当たる,満足,8,
加賀フルーツランド,2026/04/13 12:48:05,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 地元の美味しいものを食べる",自家用車,自家用車,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",11回目以上,"観光パンフレット・ポスター, インターネット・アプリ",ゆのくにの森,,選択なし／該当施設なし,,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,8,,また行きたい（1年以内）,特になし,女,1961,愛知県,小牧市,200万円以上 300万円未満,景品が当たる,満足,8,
那谷寺,2026/04/13 13:18:10,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 名所、旧跡の観光",自家用車,"自家用車, レンタカー",とても満足,ゆっくりできる,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","3,000円以上 5,000円未満",2～5回目,"インターネット・アプリ, X(旧：Twitter), Instagram, Facebook",那谷寺,,那谷寺,,"1,000円以上 3,000円未満",満足,枝垂れ桜が満開,とても満足,平日で人が少ない,感じなかった,,8,,また行きたい（1年以内）,特に無い,男,1949,奈良県,生駒市,500万円以上 600万円未満,"景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",とても満足,9,春が良い
小松空港,2026/04/13 13:39:01,同意する,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,友人・親戚を訪ねる,飛行機,路線バス,満足,,使わない,"20,000円以上 30,000円未満","5,000円以上 10,000円未満",2～5回目,インターネット・アプリ,選択なし/該当施設なし,金沢城公園,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,10,,また行きたい（1年以内）,歴史散策,女,1973,長崎県,長崎市,"1,200万円以上 1,500万円未満",景品が当たる,とても満足,10,
小松空港,2026/04/13 15:43:46,同意する,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,職場の同僚,その他スポーツ（ゴルフ、テニスなど）,飛行機,路線バス,とても満足,航空機発着に合わせた時間がとても良かった,"30,000円以上 40,000円未満","40,000円以上 50,000円未満","3,000円以上 5,000円未満",初めて,"新聞・雑誌・ガイドブック, インターネット・アプリ, 観光協会等の案内所",選択なし/該当施設なし,,選択なし／該当施設なし,兼六園と周辺の神社（御朱印があれば尚良い）,"1,000円以上 3,000円未満",とても満足,兼六園は良く手入れがされており、とても良かった,とても満足,,感じなかった,,10,,機会があれば行きたい,のどぐろ以外の魚が増えると、御当地感を感じられる,男,1974,佐賀県,唐津市,700万円以上 800万円未満,"景品が当たる, 石川県の雑学を知りたい, なんとなく",とても満足,10,金沢駅の周辺に観光スポットが集まっており、気軽に足を運べたから。天候によっては徒歩でも大丈夫です。
リブマックスリゾート加賀山代,2026/04/13 16:12:09,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,中学生以上連れの家族,温泉や露天風呂,自家用車,自家用車,,,使わない,"1,000円未満",使わない,初めて,インターネット・アプリ,月うさぎの里,,選択なし／該当施設なし,,使わない,満足,お風呂が良かった。,満足,お風呂が良かった。サウナも良かった。,感じなかった,,5,,機会があれば行きたい,特になし,女,1972,福井県,福井市新田塚,700万円以上 800万円未満,景品が当たる,満足,5,
小松空港,2026/04/13 18:28:31,同意する,2泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,友人,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光",飛行機,レンタカー,満足,道が走りやすかった,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","30,000円以上 40,000円未満",2～5回目,"観光パンフレット・ポスター, インターネット・アプリ",選択なし/該当施設なし,福井県,那谷寺,,"3,000円以上 5,000円未満",満足,欲しいものがあった,満足,困らなかった,感じなかった,,7,,また行きたい（1年以内）,特になし,女,1960,神奈川県,横浜市鶴見区,400万円以上 500万円未満,景品が当たる,とても満足,9,人が穏やか
小松空港,2026/04/13 19:04:22,同意する,1泊,石川県内には宿泊しない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,団体旅行,名所、旧跡の観光,旅行会社ツアーバス,旅行会社ツアーバス,どちらでもない,利用していない,使わない,"5,000円以上 10,000円未満",使わない,2～5回目,"新聞・雑誌・ガイドブック, インターネット・アプリ",選択なし/該当施設なし,金沢城,選択なし／該当施設なし,なし,"5,000円以上 10,000円未満",どちらでもない,特にない,満足,携帯充電がしやすい,感じなかった,なし,6,飲食店が少ない,機会があれば行きたい,特にない,男,1964,東京都,八王子市,400万円以上 500万円未満,なんとなく,満足,7,金沢城の素晴らしさ
小松空港,2026/04/13 19:45:03,同意する,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,東京,自分ひとり,"宿でのんびり過ごす, 温泉や露天風呂",レンタカー,レンタカー,とても満足,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",初めて,インターネット・アプリ,ゆのくにの森,,木場潟公園,,"5,000円以上 10,000円未満",とても満足,,とても満足,,感じなかった,,9,,また行きたい（1年以内）,特になし,男,1975,茨城県,土浦市,"1,000万円以上 1,200万円未満",景品が当たる,とても満足,9,
小松空港,2026/04/13 19:57:28,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,"新幹線, 飛行機",自家用車,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",2～5回目,TV・ラジオ番組やCM,選択なし/該当施設なし,,選択なし／該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,5,,機会があれば行きたい,海鮮,男,1983,石川県,小松市,"1,000万円以上 1,200万円未満",景品が当たる,満足,7,
ホテルエアポート小松,2026/04/13 22:01:57,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,富山県入善,職場の同僚,"地元の美味しいものを食べる, 出張など仕事関係",レンタカー,"レンタカー, 在来線",,,"5,000円以上 10,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",6～10回目,インターネット・アプリ,選択なし/該当施設なし,入善から移動,月うさぎの里,,"3,000円以上 5,000円未満",どちらでもない,特になし,どちらでもない,特になし,感じなかった,,6,,また行きたい（1年以内）,特になし,男,1991,千葉県,千葉市,500万円以上 600万円未満,"景品が当たる, 石川県のおすすめ観光スポットが見たい, なんとなく",満足,8,食事が美味しいが車が必要となることが多い
月うさぎの里,2026/04/14 10:17:31,同意する,1泊,1泊,石川県内には宿泊しない,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂",自家用車,自家用車,とても満足,いろいろと回れて楽しい,"10,000円以上 20,000円未満","40,000円以上 50,000円未満","5,000円以上 10,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,,那谷寺,,"1,000円以上 3,000円未満",とても満足,うさぎが可愛いすぎる,とても満足,綺麗で掃除がしっかりされていて良かった,感じなかった,,9,,また行きたい（1年以内）,ソースカツ丼、ウサギさん,男,1987,滋賀県,長浜市,700万円以上 800万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",満足,9,月うさぎの里
月うさぎの里,2026/04/14 10:22:50,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,温泉や露天風呂,自家用車,自家用車,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",初めて,"インターネット・アプリ, Instagram",選択なし/該当施設なし,,ゆのくにの森,,"1,000円以上 3,000円未満",とても満足,うさぎが可愛い癒し,とても満足,清掃が行き届いてる,感じた,施設内が工事中でちょっと音がした,10,施設で作っているお菓子がどれかぱっと分かりにくかったので分かりやすいと嬉しい,また行きたい（1年以内）,今で丁度いい,女,1989,滋賀県,長浜市,700万円以上 800万円未満,"景品が当たる, なんとなく, 能登牛が好き",とても満足,10,温泉や街歩きが楽しい
大江戸温泉物語 山代彩朝楽,2026/04/14 10:42:27,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",2～5回目,インターネット・アプリ,月うさぎの里,,選択なし／該当施設なし,越前水族館,"3,000円以上 5,000円未満",どちらでもない,もう少し良かったら良かった,満足,お風呂が良かったため,感じた,食べ物の種類が少ない,6,食べ物の種類が少ない,機会があれば行きたい,魚介が食べたい,男,1988,京都府,京都市,200万円以上 300万円未満,景品が当たる,満足,8,のんびり過ごせるため
リブマックスリゾート加賀山代,2026/04/14 10:51:58,同意する,2泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,滋賀県,夫婦2人,温泉や露天風呂,自家用車,自家用車,満足,,"20,000円以上 30,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,新聞・雑誌・ガイドブック,選択なし/該当施設なし,,選択なし／該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,8,,また行きたい（1年以内）,温泉,女,1963,滋賀県,近江八幡市,400万円以上 500万円未満,景品が当たる,満足,9,
小松空港,2026/04/14 10:52:31,同意する,1泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,親,名所、旧跡の観光,飛行機,レンタカー,満足,定刻通り,使わない,"1,000円以上 3,000円未満","10,000円以上 20,000円未満",初めて,観光協会等の案内所,木場潟公園,,選択なし／該当施設なし,福井県,使わない,満足,初めて訪れた、期待よりなかなかよかったので。,満足,期待より良かったので。,感じなかった,,7,,どちらともいえない,特になし,男,1979,神奈川県,川崎市宮前区,500万円以上 600万円未満,"景品が当たる, 石川県のおすすめ観光スポットが見たい, なんとなく",満足,6,
小松空港,2026/04/14 11:09:29,同意する,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, 買い物、アウトレット",レンタカー,レンタカー,とても満足,,"100,000円以上","50,000円以上 100,000円未満","100,000円以上",11回目以上,"観光展・物産展, X(旧：Twitter), Instagram, Facebook",選択なし/該当施設なし,兼六園,選択なし／該当施設なし,兼六園,"100,000円以上",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,お酒、食事,男,1982,福井県,坂井市,"1,500万円以上",景品が当たる,とても満足,10,
白山比咩神社,2026/04/14 13:22:54,同意する,3泊,石川県内には宿泊しない,石川県内には宿泊しない,富山県,恋人,名所、旧跡の観光,自家用車,自家用車,,,"3,000円以上 5,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",初めて,友人・知人,選択なし/該当施設なし,神社,選択なし／該当施設なし,特に考えてない,使わない,とても満足,御朱印が綺麗,とても満足,神社が素敵,感じなかった,,10,,また行きたい（1年以内）,特になし,女,2003,千葉県,市原市,400万円以上 500万円未満,景品が当たる,とても満足,10,回るとこが結構ある
日本自動車博物館,2026/04/14 13:55:56,同意する,1泊,石川県内には宿泊しない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット",自家用車,自家用車,とても満足,,"30,000円以上 40,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,大江戸温泉物語　近江町市場,選択なし／該当施設なし,,"20,000円以上 30,000円未満",どちらでもない,かもなくふかもなく,とても満足,たのしかった,感じなかった,,8,,機会があれば行きたい,特になし,女,1994,大阪府,平野区,700万円以上 800万円未満,"景品が当たる, ひゃくまんさんが好き, ARでひゃくまんさんと写真が撮りたかった, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",満足,8,
小松空港,2026/04/14 14:35:04,同意する,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,職場の同僚,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光","飛行機, 旅行会社ツアーバス",貸切バス,満足,ガイド付きで楽,"100,000円以上","100,000円以上","50,000円以上 100,000円未満",初めて,新聞・雑誌・ガイドブック,選択なし/該当施設なし,,選択なし／該当施設なし,,"10,000円以上 20,000円未満",満足,,満足,,感じた,,2,,機会があれば行きたい,特に無し,無回答,1958,北海道,名寄市,600万円以上 700万円未満,景品が当たる,満足,5,
小松空港,2026/04/14 15:29:51,同意する,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,職場の同僚,出張など仕事関係,"在来線, 飛行機",在来線,満足,空港内がサイズ感が丁度いい,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,Instagram,選択なし/該当施設なし,金沢駅にいきました,選択なし／該当施設なし,時間がなかったため,"3,000円以上 5,000円未満",満足,丁度良かった,満足,丁度良かった,感じなかった,,10,,また行きたい（1年以内）,特になし,男,1984,宮崎県,宮崎市,300万円以上 400万円未満,なんとなく,満足,10,蕎麦が美味しかった
大江戸温泉物語Premium 山中グランドホテル,2026/04/14 17:39:09,同意する,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 地元の美味しいものを食べる",自家用車,自家用車,,,"30,000円以上 40,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,インターネット・アプリ,日本自動車博物館,,選択なし／該当施設なし,近江町市場,"10,000円以上 20,000円未満",満足,前泊まった大江戸温泉物語にはラウンジに食べ物があったのに今回ない,不満,部屋に蜘蛛の巣はってる,感じなかった,,6,ラウンジにお菓子がない,機会があれば行きたい,海鮮美味しい,女,1994,大阪府,平野区,800万円以上 900万円未満,"景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",満足,8,間にあった個人店がよかった
小松空港,2026/04/14 18:22:39,同意する,3泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,自分ひとり,友人・親戚を訪ねる,"在来線, 飛行機","在来線, 路線バス",不満,連絡が悪い,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,インターネット・アプリ,選択なし/該当施設なし,福井駅,選択なし／該当施設なし,帰宅,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,8,,機会があれば行きたい,温泉街の活性化がもっと進むと良いなと思います。,女,1977,神奈川県,川崎市,600万円以上 700万円未満,"景品が当たる, なんとなく",満足,8,
リブマックスリゾート加賀山代,2026/04/14 22:03:20,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂",自家用車,自家用車,,,"20,000円以上 30,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,食事がとても美味しい,満足,食事,感じなかった,なし,8,なし,機会があれば行きたい,特になし,女,1949,愛知県,一宮市,100万円以上 200万円未満,景品が当たる,満足,8,温泉
